id,name,description,categories
0,API_0,A hr and entertainment API providing real-time information capabilities.,"['HR', 'Entertainment']"
1,API_1,gaming and tools API service offering user authentication functionality.,"['Gaming', 'Tools']"
2,API_2,RESTful API for video with resource management features.,['Video']
3,API_3,API endpoint providing entertainment and tools services including resource management.,"['Entertainment', 'Tools']"
4,API_4,search and email API enabling developers to search and discovery.,"['Search', 'Email']"
5,API_5,A legal and entertainment API providing content delivery capabilities.,"['Legal', 'Entertainment']"
6,API_6,"music, tools, and entertainment API service offering resource management functionality.","['Music', 'Tools', 'Entertainment']"
7,API_7,RESTful API for collaboration with data access and retrieval features.,['Collaboration']
8,API_8,"API endpoint providing health, tools, and entertainment services including resource management.","['Health', 'Tools', 'Entertainment']"
9,API_9,photo API enabling developers to resource management.,['Photo']
10,API_10,"A security, gaming, and entertainment API providing resource management capabilities.","['Security', 'Gaming', 'Entertainment']"
11,API_11,"media, education, and entertainment API service offering data access and retrieval functionality.","['Media', 'Education', 'Entertainment']"
12,API_12,RESTful API for entertainment with data access and retrieval features.,['Entertainment']
13,API_13,"API endpoint providing analytics, social, and entertainment services including resource management.","['Analytics', 'Social', 'Entertainment']"
14,API_14,sports API enabling developers to search and discovery.,['Sports']
15,API_15,A education API providing content delivery capabilities.,['Education']
16,API_16,"advertising, travel, and legal API service offering resource management functionality.","['Advertising', 'Travel', 'Legal']"
17,API_17,RESTful API for gaming and health with search and discovery features.,"['Gaming', 'Health']"
18,API_18,API endpoint providing database and tools services including resource management.,"['Database', 'Tools']"
19,API_19,"email, sports, and blogging API enabling developers to content delivery.","['Email', 'Sports', 'Blogging']"
20,API_20,A books and tools API providing search and discovery capabilities.,"['Books', 'Tools']"
21,API_21,entertainment API service offering advanced analytics functionality.,['Entertainment']
22,API_22,RESTful API for social with data access and retrieval features.,['Social']
23,API_23,API endpoint providing messaging services including resource management.,['Messaging']
24,API_24,books and tools API enabling developers to search and discovery.,"['Books', 'Tools']"
25,API_25,A entertainment and gaming API providing advanced analytics capabilities.,"['Entertainment', 'Gaming']"
26,API_26,"education, music, and bookmark API service offering resource management functionality.","['Education', 'Music', 'Bookmark']"
27,API_27,RESTful API for ecommerce and tools with resource management features.,"['eCommerce', 'Tools']"
28,API_28,API endpoint providing entertainment services including content delivery.,['Entertainment']
29,API_29,productivity and music API enabling developers to resource management.,"['Productivity', 'Music']"
